is_cluster,pocket_name,pocket_alias,ward_id,ward_councillor,avg_hhsize,area_ha,density_dwellings,structure_count,age_of_is,upgrade_category,temp_sanitation,toilets_full_flush,toilets_chemical,toilets_portable,toilets_container,toilets_other,toilets_total,ratio_toilets_dwellings,pocket_code,centroidx,centroidy
Somerset West Station,Somerset West Station,Crossroads 13/14/16,-1.5759586560328462,Benedicta van Minnen,-1.0599341788482228,-0.13084758252672843,-0.8278923239408603,-0.38754768993909366,15 - 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,HELSOM001,2.2275985688226156,-0.9848666217674442
Sophakama - Driftsands,Sophakama - Driftsands,Crossroads 13/14/16,-1.4468780131058163,Cynthia Claasen,1.2014367266541548,-0.07715951895093884,-0.07676422728826048,-0.01484323405456046,15 - 20 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,-0.21636724246445585,0.3084882616838438,-0.1602767401999007,-0.10128451368804998,0.021958261196075926,1:3,HELSOP001,0.4569379096658609,-0.20156709656480384
Sophakama - Driftsands,Valangantabo Street,Crossroads 13/14/16,-1.4468780131058163,Cynthia Claasen,1.2014367266541548,-0.13269994218630038,-0.5334714081163989,-0.38405358566517617,5 - 10 years,Provincial or National government land.  Some constraints,1.5671219541356771,-0.35630001068266437,-0.21636724246445585,0.3084882616838438,-0.1602767401999007,-0.10128451368804998,0.021958261196075926,1:0,HELVAL001,0.4587572010198053,-0.1867751136150224
Springfield Road,Springfield Road,Crossroads 13/14/16,0.5216017915313899,Thembinkosi Pupa,-0.798287958376873,-0.11958159181031558,-0.6817643523145376,-0.35726545289847533,15 - 20 years,Provincial or National government land.  Some constraints,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,0.004135562924204652,-0.10128451368804998,-0.26132824413446126,1:3,HILSPR001,-0.7084171795296386,-0.20337198064656994
Strandfontein,7de Laan - Strandfontein,Crossroads 13/14/16,-0.6723941555436369,Elton-Enrique Jansen,1.4443939313775516,-0.10943916351036437,-0.8335858806088045,-0.36192425859703203,5 - 10 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,0.008526555821046498,-0.013160608717729512,-0.1602767401999007,0.22009429253902005,-0.1244594831320669,1:0,HILSEV001,-0.4022200756418413,-0.9285118891795486
Strandfontein,City Mission - Strandfontein,Crossroads 13/14/16,-0.6723941555436369,Elton-Enrique Jansen,1.4443939313775516,-0.12383290906179213,-0.820752520770768,-0.3782300785419804,> 20 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,-0.1345876794515459,-0.17885851165187333,-0.1465757149395586,0.11296802379666337,-0.26132824413446126,1:1,HILCIT001,-0.285973956590503,-0.8719655767171015
Strandfontein,Heights Block 11,Plot 9,-0.6723941555436369,Elton-Enrique Jansen,1.4443939313775516,-0.13379313805096577,-0.7170374851920557,-0.389877092788372,10 - 15 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,-0.19592235171122838,-0.17885851165187333,-0.1602767401999007,-0.02986700119314553,-0.28679219966979047,1:1,HILHEI001,-0.38781656689139665,-0.9152525452266101
Strandfontein,Masincedane Camp,Camp Road,-0.6723941555436369,Elton-Enrique Jansen,1.4443939313775516,-0.09559201589126931,-0.7011947520304389,-0.30834799306363037,10 - 15 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,1.005686929982969,-0.20085134973805446,1:2,HILMAS001,-0.2686294172575319,-0.8819277301965809
Strandfontein,Oppermans Oord,Crossroads 13/14/16,-0.6723941555436369,Elton-Enrique Jansen,1.4443939313775516,-0.09899306969245054,-0.9149884266674697,-0.3700771685695062,> 20 years,City land. Can be upgraded,0.044844185129974574,-0.26518462163573125,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,0.04155051130175892,-0.26132824413446126,1:2,HILOPP001,-0.3269598571447699,-0.904282076617595
Sweet Home,Sweet Home,Fananze,0.5216017915313899,Thembinkosi Pupa,-0.798287958376873,0.5547684239292545,-0.10115697369078797,3.96610623536211,15 - 20 years,City land. Can be upgraded,0.26701445412505664,3.242757856671193,3.402378420856809,-0.17885851165187333,0.6754858006809682,-0.10128451368804998,1.4670377378260073,1:7,MITSWE001,-0.3845550393863847,-0.20373497409320573
