"is_cluster","pocket_name","pocket_alias","ward_id","ward_councillor","avg_hhsize","area_ha","density_dwellings","structure_count","age_of_is","upgrade_category","temp_sanitation","toilets_full_flush","toilets_chemical","toilets_portable","toilets_container","toilets_other","toilets_total","ratio_toilets_dwellings","pocket_code","centroidx","centroidy"
"Victoria Mxenge 7410","S Section 7410","Victoria Mxenge 7410","19100090","Luvuyo Hebe","3.060000000","2.473000000","192.478770724","476","> 20 years","Provincial or National government land.  Some constraints","0E-9","103.000000000","0E-9","0E-9","0E-9","0E-9","103.000000000","1:5","KHASSE001","18.657948000","-34.029136000"
"Victoria Mxenge 7410","YA Section","Victoria Mxenge 7410/ Donkey Square","19100090","Luvuyo Hebe","3.060000000","3.911000000","160.061365380","626","> 20 years","Provincial or National government land.  Some constraints","0E-9","105.000000000","0E-9","0E-9","0E-9","0E-9","105.000000000","1:6","KHAYAS001","18.657674000","-34.026631000"
"Victoria Mxenge Infills","Ciko Avenue","Victoria Mxenge 6458","19100091","Monde Mabandla","3.700000000","0.248000000","290.322580645","72","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHACIK001","18.659980000","-34.021756000"
"Victoria Mxenge Infills","Citabatwe Crescent","Victoria Mxenge 5811","19100090","Luvuyo Hebe","3.060000000","0.183000000","234.972677596","43","> 20 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","0E-9","0E-9","0E-9","1.000000000","1.000000000","1:43","KHACIT001","18.653113000","-34.020306000"
"Victoria Mxenge Infills","Makhaya Crescent","Victoria Mxenge 10052","19100090","Luvuyo Hebe","3.060000000","0.172000000","313.953488372","54","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAVIC002","18.652421000","-34.025103000"
"Victoria Mxenge Infills","Mampinga Square","Victoria Mxenge 7740","19100091","Monde Mabandla","3.410000000","0.177000000","248.587570621","44","> 20 years","Provincial or National government land.  Some constraints","0E-9","5.000000000","0E-9","0E-9","0E-9","0E-9","5.000000000","1:9","KHYMAM001","18.661478000","-34.024795000"
"Victoria Mxenge Infills","S Section 1","Victoria Mxenge 9892","19100090","Luvuyo Hebe","3.060000000","0.175000000","280.000000000","49","> 20 years","City land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHASSE002","18.659304000","-34.029082000"
"Victoria Mxenge Infills","S Section 2","Victoria Mxenge 9172","19100090","Luvuyo Hebe","3.060000000","0.168000000","273.809523810","46","> 20 years","City land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHASSE003","18.659411000","-34.028318000"
"Victoria Mxenge Infills","UTR Section","Victoria Mxenge 10657","19100090","Luvuyo Hebe","3.060000000","0.178000000","297.752808989","53","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAUTR001","18.652172000","-34.022992000"
"Victoria Mxenge Infills","V Section","Victoria Mxenge 6200","19100091","Monde Mabandla","3.410000000","0.231000000","255.411255411","59","5 - 10 years","Provincial or National government land.  Some constraints","0E-9","83.000000000","0E-9","0E-9","0E-9","0E-9","83.000000000","1:1","KHAVSE001","18.655959000","-34.018440000"
"Victoria Mxenge Infills","X Section","None","19100090","Monde Mabandla","3.410000000","0.107000000","214.953271028","23","15 - 20 years","Many constraints.  May need to be relocated","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAXSE001","18.652677000","-34.027152000"
"Victoria Mxenge Infills","Y Section","Victoria Mxenge 8625","19100091","Monde Mabandla","3.410000000","0.345000000","197.101449275","68","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAYSE001","18.662728000","-34.027307000"
"Victoria Mxenge Infills","YAB Section 2","Victoria Mxenge 8143","19100091","Luvuyo Hebe","3.060000000","0.196000000","367.346938776","72","> 20 years","City land. Can be upgraded","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAYAB001","18.660308000","-34.027678000"
"Village Heights","Village Heights","HillView 2/ Vrygrond147260/ Vrygrond 1374771","19100067","Shaun August","4.000000000","9.669000000","89.564587858","866","5 - 10 years","City land. Can be upgraded","79.694656489","133.000000000","210.000000000","312.000000000","0E-9","0E-9","655.000000000","1:1","HILVIL001","18.494699000","-34.074141000"
"Vlakteplaas","Vlakteplaas","None","19100100","Johannes (Johan) Middleton","3.360000000","0.388000000","15.463917526","6","15 - 20 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","19.000000000","4.000000000","0E-9","23.000000000","1:0","HELVLA001","18.879026000","-34.128823000"
"VT Section","VT Section","Victoria Mxenge 6639","19100091","Monde Mabandla","3.410000000","1.850000000","263.243243243","487","> 20 years","Provincial or National government land.  Some constraints","0E-9","90.000000000","0E-9","0E-9","0E-9","0E-9","90.000000000","1:5","KHAVTS001","18.655792000","-34.020273000"
"Vygieskraal","Vygieskraal","None","19100048","Magedien Davids","3.860000000","0.952000000","248.949579832","237","> 20 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","41.000000000","0E-9","0E-9","0E-9","41.000000000","1:6","HILVYG001","18.521675000","-33.969100000"
"Wag 'n Bietjie","Wag 'n Bietjie 1","None","19100086","Jongidumo Maxheke","3.340000000","0.050000000","180.000000000","9","10 - 15 years","Many constraints.  May need to be relocated","0E-9","24.000000000","0E-9","0E-9","0E-9","0E-9","24.000000000","1:0","HELWAG004","18.866839000","-34.114784000"
"Wag 'n Bietjie","Wag 'n Bietjie 2","None","19100086","Jongidumo Maxheke","3.340000000","1.189000000","167.367535744","199","5 - 10 years","Many constraints.  May need to be relocated","0E-9","156.000000000","0E-9","0E-9","0E-9","0E-9","156.000000000","1:1","HELWAG002","18.867233000","-34.114007000"
"Wag 'n Bietjie","Wag 'n Bietjie 3","None","19100085","Jongidumo Maxheke","3.160000000","0.545000000","67.889908257","37","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","10.000000000","0E-9","0E-9","0E-9","0E-9","10.000000000","1:4","HELWAG003","18.858473000","-34.113401000"
"Wag 'n Bietjie","Wag 'n Bietjie 4","None","19100085","Jongidumo Maxheke","3.160000000","1.619000000","269.919703521","437","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","41.000000000","0E-9","0E-9","0E-9","0E-9","41.000000000","1:11","HELWAG001","18.854423000","-34.115480000"
"Wallacedene Infills","Boesak Road","None","19100006","Simpiwe Nonkeyizana","3.720000000","0.160000000","143.750000000","23","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL005","18.730928000","-33.861076000"
"Wallacedene Infills","Miles Street","None","19100006","Simpiwe Nonkeyizana","3.720000000","0.131000000","61.068702290","8","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL001","18.734421000","-33.858159000"
"Wallacedene Infills","Pieterson Road","None","19100006","Simpiwe Nonkeyizana","3.720000000","0.136000000","213.235294118","29","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL004","18.737056000","-33.856993000"
